"","L acc","Ch acc","LCI diff","L dec","C dec","L resp","C resp","L/C dec"
"Mg litter","\textbf{ -0.578 }","\textbf{ 0.747 }","\textbf{ -0.764 }","-0.346","\textbf{ 0.782 }","\textbf{ -0.548 }","\textbf{ 0.659 }","\textbf{ 0.814 }"
"Fe litter","0.0933","-0.117","0.0924","0.235","-0.0469","0.217","-0.393","-0.258"
"Mn litter","\textbf{ 0.72 }","\textbf{ -0.66 }","\textbf{  0.8 }","\textbf{ 0.535 }","\textbf{ -0.692 }","\textbf{ 0.661 }","\textbf{ -0.509 }","\textbf{ -0.76 }"
"Zn litter","\textbf{ 0.668 }","-0.428","\textbf{ 0.638 }","\textbf{ 0.577 }","\textbf{ -0.451 }","\textbf{ 0.622 }","-0.328","\textbf{ -0.616 }"
"Cmic","\textbf{ 0.554 }","-0.259","\textbf{ 0.46 }","\textbf{ 0.496 }","-0.281","0.405","-0.129","-0.221"
"Nmic","0.257","0.162","0.0575","0.34","0.167","0.183","0.254","0.0925"
"Pmic","-0.162","\textbf{ 0.592 }","-0.422","0.0163","\textbf{  0.6 }","-0.176","\textbf{ 0.647 }","\textbf{ 0.511 }"
"C:N mic","\textbf{ 0.666 }","\textbf{ -0.758 }","\textbf{ 0.799 }","0.423","\textbf{ -0.807 }","\textbf{ 0.511 }","\textbf{ -0.657 }","\textbf{ -0.609 }"
"C:P mic","\textbf{ 0.692 }","\textbf{ -0.787 }","\textbf{ 0.834 }","\textbf{ 0.468 }","\textbf{ -0.818 }","\textbf{ 0.557 }","\textbf{ -0.694 }","\textbf{ -0.671 }"
"N:P mic","\textbf{ 0.582 }","\textbf{ -0.729 }","\textbf{ 0.74 }","0.406","\textbf{ -0.733 }","\textbf{ 0.502 }","\textbf{ -0.685 }","\textbf{ -0.669 }"
"extractable C","\textbf{ 0.609 }","\textbf{ -0.766 }","\textbf{ 0.782 }","0.364","\textbf{ -0.793 }","0.443","\textbf{ -0.593 }","\textbf{ -0.538 }"
"C:N inbalance","\textbf{ -0.56 }","\textbf{ 0.81 }","\textbf{ -0.772 }","-0.28","\textbf{ 0.851 }","-0.386","\textbf{ 0.662 }","\textbf{ 0.53 }"
"C:P inbalance","\textbf{ -0.817 }","\textbf{ 0.663 }","\textbf{ -0.833 }","\textbf{ -0.748 }","\textbf{ 0.653 }","\textbf{ -0.794 }","\textbf{ 0.691 }","\textbf{ 0.841 }"
"N:P inbalance","\textbf{ -0.724 }","0.351","\textbf{ -0.602 }","\textbf{ -0.807 }","0.313","\textbf{ -0.763 }","\textbf{ 0.455 }","\textbf{ 0.673 }"
"CN extr","0.333","0.0139","0.175","\textbf{ 0.537 }","0.0881","\textbf{ 0.447 }","-0.124","-0.268"
"CP extr","-0.136","-0.357","0.14","-0.368","-0.389","-0.204","-0.218","-0.122"
"NP extr","-0.189","-0.314","0.0841","-0.42","-0.351","-0.252","-0.186","-0.0835"
